room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11080468,57474731,Private room,,Bridgeport,4,4.5,2.0,1.0,48.0,1.0,41.84112,-87.644181,2016-03-22 07:23:15.618642
8241811,21232490,Private room,,Logan Square,1,4.0,1.0,1.0,40.0,1.0,41.930464,-87.723833,2016-03-22 07:23:12.261455
9939660,47774994,Entire home/apt,,Gold Coast,0,,2.0,0.0,80.0,1.0,41.907737,-87.626038,2016-03-22 07:22:45.333262
9749563,4962188,Private room,,Gold Coast,0,,1.0,1.0,195.0,1.0,41.897129,-87.622317,2016-03-22 07:22:34.625967
4310601,12831311,Private room,,West Town,16,5.0,2.0,1.0,45.0,1.0,41.890387,-87.684862,2016-03-22 07:22:31.531749
7182834,37632201,Private room,,South Loop,4,5.0,2.0,1.0,79.0,1.0,41.849916,-87.621527,2016-03-22 07:22:26.335823
6028317,31287246,Entire home/apt,,Near East Side,8,5.0,4.0,1.0,105.0,4.0,41.887034,-87.617919,2016-03-22 07:22:18.419053
2715815,3965428,Entire home/apt,,South Loop,12,5.0,4.0,1.0,200.0,7.0,41.85445,-87.624321,2016-03-22 07:22:13.722803
10231693,46967559,Entire home/apt,,Gold Coast,6,5.0,2.0,0.0,117.0,,41.893985,-87.616574,2016-03-22 07:21:56.402163
397929,310147,Private room,,East Ukrainian Village,18,4.5,2.0,1.0,82.0,1.0,41.902395,-87.674001,2016-03-22 07:21:52.660626
5466846,27567446,Entire home/apt,,Gold Coast,12,4.5,4.0,1.0,85.0,2.0,41.900212,-87.627045,2016-03-22 07:21:43.766539
9882149,46633642,Entire home/apt,,Near North,3,4.0,4.0,2.0,349.0,3.0,41.891892,-87.628044,2016-03-22 07:21:31.454806
8866975,42524732,Private room,,Bronzeville,2,4.5,2.0,1.0,59.0,1.0,41.826542,-87.618234,2016-03-22 07:21:29.536808
7631229,12763069,Entire home/apt,,East Hyde Park,1,5.0,,4.0,245.0,1.0,41.796083,-87.582243,2016-03-22 07:21:26.639068
4246135,19631081,Entire home/apt,,East Pilsen,42,5.0,,2.0,225.0,2.0,41.858607,-87.641926,2016-03-22 07:21:20.185824
1721109,1837370,Entire home/apt,,Rogers Park,45,4.0,,3.0,120.0,,41.999687,-87.671159,2016-03-22 07:20:43.893916
7202487,863268,Entire home/apt,,West Town,3,4.5,,2.0,200.0,1.0,41.894991,-87.658005,2016-03-22 07:20:36.109048
7134776,4140098,Private room,,Lake View,7,5.0,2.0,1.0,69.0,1.0,41.94143,-87.649434,2016-03-22 07:20:31.800181
201214,844195,Entire home/apt,,Bucktown,26,4.5,3.0,1.0,150.0,2.0,41.915759,-87.671719,2016-03-22 07:20:24.625525
9299269,48276287,Private room,,Roscoe Village,0,,2.0,1.0,115.0,1.0,41.945941,-87.675276,2016-03-22 07:20:03.280012
8652541,62150,Private room,,Palmer Square,0,,4.0,1.0,80.0,1.0,41.921147,-87.704635,2016-03-22 07:20:00.040575
8796422,36057277,Entire home/apt,,Old Town Triangle,1,5.0,4.0,2.0,215.0,1.0,41.917407,-87.637541,2016-03-22 07:19:57.290172
347486,486780,Entire home/apt,,Gold Coast,22,4.5,,2.0,135.0,30.0,41.901979,-87.625393,2016-03-22 07:19:34.105098
709870,3179866,Entire home/apt,,Humboldt Park,55,4.0,,3.0,99.0,3.0,41.899995,-87.721405,2016-03-22 07:19:31.020319
6184972,13549323,Private room,,East Ukrainian Village,15,5.0,2.0,1.0,100.0,2.0,41.90062,-87.672252,2016-03-22 07:19:10.197858
5569521,2907254,Shared room,,West Rogers Park,32,5.0,3.0,1.0,25.0,1.0,42.015551,-87.687618,2016-03-22 07:19:03.698838
9391726,48714748,Entire home/apt,,Sheffield Neighbors,2,4.5,4.0,1.0,119.0,3.0,41.92184,-87.653292,2016-03-22 07:17:21.000398
640634,1981821,Private room,,Pilsen,93,4.5,4.0,1.0,69.0,2.0,41.854609,-87.64906,2016-03-22 07:17:12.480085
1114846,558687,Private room,,Heart of Chicago,60,4.5,2.0,1.0,34.0,1.0,41.855875,-87.669919,2016-03-22 07:16:57.354447
2062638,1876597,Entire home/apt,,Goose Island,69,4.5,,3.0,295.0,1.0,41.896696,-87.657339,2016-03-22 07:16:49.035066
3627357,18273211,Entire home/apt,,West De Paul,48,4.0,4.0,1.0,149.0,2.0,41.925288,-87.666423,2016-03-22 07:16:41.540757
9817,33004,Entire home/apt,,Gold Coast,5,4.5,2.0,,109.0,4.0,41.901216,-87.62819,2016-03-22 07:16:36.208413
6105324,14986488,Entire home/apt,,East Pilsen,7,5.0,4.0,0.0,140.0,2.0,41.85782,-87.64599,2016-03-22 07:16:24.916447
9627794,49790252,Private room,,North Park,0,,2.0,1.0,75.0,1.0,41.974144,-87.719687,2016-03-22 07:16:01.320704
7321539,16760790,Private room,,Heart of Chicago,12,5.0,2.0,1.0,55.0,1.0,41.853561,-87.670917,2016-03-22 07:15:47.715309
345075,1746524,Private room,,Kenwood,133,5.0,2.0,1.0,79.0,2.0,41.807704,-87.594358,2016-03-22 07:15:37.623080
9908080,50947798,Private room,,Logan Square,0,,2.0,1.0,87.0,2.0,41.92549,-87.700424,2016-03-22 07:15:25.820530
