"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",9048314,20401652,"Entire home/apt",NA,"Gold Coast",0,NA,1,1,150,1,41.892628,-87.618247,"2016-01-19 12:14:35.625602"
"2",10562759,11129557,"Entire home/apt",NA,"Wicker Park",0,NA,NA,6,215,1,41.905619,-87.669001,"2016-01-19 12:12:29.383801"
"3",6703210,21813711,"Private room",NA,"Bucktown",41,5,2,1,55,1,41.912252,-87.673943,"2016-01-19 12:12:14.509639"
"4",6939672,17588657,"Private room",NA,"Irving Park",9,5,3,1,75,1,41.948989,-87.704122,"2016-01-19 12:11:41.903395"
"5",9347311,25268540,"Entire home/apt",NA,"Lathrop Homes",5,5,NA,2,100,2,41.931101,-87.676614,"2016-01-19 12:10:53.542469"
"6",8988893,17550074,"Entire home/apt",NA,"Bucktown",0,NA,NA,3,210,6,41.916433,-87.671711,"2016-01-19 12:09:29.087649"
"7",9617562,49758638,"Entire home/apt",NA,"Lake View East",1,NA,5,0,60,1,41.951285,-87.647668,"2016-01-19 12:09:04.363248"
"8",9094637,47417970,"Entire home/apt",NA,"Lake View",0,NA,2,1,150,1,41.952977,-87.653753,"2016-01-19 12:08:27.103409"
"9",1072460,5899180,"Entire home/apt",NA,"Lake View East",3,5,3,1,75,2,41.950102,-87.647897,"2016-01-19 12:07:49.972850"
"10",6528071,33861738,"Private room",NA,"Pilsen",20,5,2,1,100,1,41.859427,-87.660894,"2016-01-19 12:07:31.693657"
"11",7053184,36991155,"Entire home/apt",NA,"Lake View East",5,4.5,3,0,100,1,41.934161,-87.640393,"2016-01-19 12:07:12.983140"
"12",9426398,48866236,"Entire home/apt",NA,"South Loop",0,NA,2,1,125,1,41.852855,-87.6214,"2016-01-19 12:05:05.475353"
"13",826522,558687,"Private room",NA,"Heart of Chicago",70,4,2,1,45,1,41.856682,-87.671039,"2016-01-19 12:04:18.662905"
"14",9886631,50860647,"Entire home/apt",NA,"Near North",1,5,3,0,90,1,41.903515,-87.634146,"2016-01-19 12:00:01.564294"
"15",8648594,43815987,"Entire home/apt",NA,"Lake View East",4,4.5,5,1,95,1,41.947505,-87.646394,"2016-01-19 11:58:40.119692"
"16",9094453,45368248,"Entire home/apt",NA,"Near North",10,5,5,2,165,3,41.891067,-87.630888,"2016-01-19 11:50:42.398183"
"17",8484779,44685833,"Shared room",NA,"O'Hare",0,NA,3,1,39,1,41.97756,-87.836922,"2016-01-19 11:50:23.020731"
"18",9954258,22734158,"Entire home/apt",NA,"Gold Coast",0,NA,4,2,90,1,41.899468,-87.626993,"2016-01-19 11:49:06.500103"
"19",8883847,16619290,"Private room",NA,"Logan Square",2,5,2,1,55,1,41.922841,-87.708445,"2016-01-19 11:47:35.008753"
"20",9460023,13640770,"Entire home/apt",NA,"Lake View East",1,5,2,0,80,1,41.943623,-87.647335,"2016-01-19 11:45:16.370212"
"21",8052671,27898397,"Entire home/apt",NA,"Lake View East",1,5,2,0,65,2,41.942303,-87.645462,"2016-01-19 11:44:31.859919"
"22",4729874,867594,"Entire home/apt",NA,"Avondale",1,3,3,2,50,1,41.941326,-87.707151,"2016-01-19 11:44:07.106259"
"23",8135784,42963483,"Private room",NA,"Ravenswood",8,5,2,1,56,1,41.971615,-87.669586,"2016-01-19 11:41:42.608656"
"24",7279980,6957577,"Entire home/apt",NA,"Lake View",0,NA,2,1,125,1,41.954103,-87.666977,"2016-01-19 11:37:24.869689"
"25",8276239,43642160,"Shared room",NA,"University Village / Little Italy",2,4,2,1,35,1,41.868577,-87.662499,"2016-01-19 11:36:52.908396"
"26",8703373,45688862,"Entire home/apt",NA,"South Loop",2,5,4,0,70,1,41.872289,-87.630639,"2016-01-19 11:36:17.941854"
"27",6900744,19305837,"Private room",NA,"Roscoe Village",2,5,NA,1,100,1,41.941529,-87.675128,"2016-01-19 11:36:02.774180"
"28",7289672,9007993,"Entire home/apt",NA,"Lake View",1,4,4,2,114,1,41.954182,-87.65278,"2016-01-19 11:35:14.694354"
"29",7037112,36895203,"Private room",NA,"Logan Square",8,5,2,1,50,2,41.922417,-87.709794,"2016-01-19 11:33:14.555080"
"30",8408881,39079770,"Entire home/apt",NA,"South Loop",16,5,2,1,112,1,41.86724,-87.624985,"2016-01-19 11:32:48.250205"
"31",8488596,44707210,"Entire home/apt",NA,"Noble Square",7,5,2,0,96,1,41.907788,-87.663195,"2016-01-19 11:28:53.693615"
"32",9283522,48210170,"Entire home/apt",NA,"Near East Side",2,5,3,1,150,1,41.88684,-87.617978,"2016-01-19 11:27:50.924992"
