room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
11239802,36378100,Entire home/apt,,,0,,8,4.0,900.0,4.0,25.796099,-80.129578,2016-05-16 07:24:44.454491
8566365,45083683,Private room,,,1,,1,1.0,100.0,2.0,25.789764,-80.145029,2016-05-16 07:24:38.333471
10900562,5917580,Private room,,,6,4.5,3,1.0,50.0,2.0,25.814292,-80.200548,2016-05-16 07:24:13.752529
11554806,57318649,Entire home/apt,,,8,4.5,6,2.0,112.0,3.0,25.779331,-80.136133,2016-05-16 07:23:40.727270
12987671,10150448,Private room,,,0,,1,1.0,40.0,1.0,25.71396,-80.276564,2016-05-16 07:23:33.437890
7200034,8600711,Private room,,,2,,4,1.0,65.0,2.0,25.764134,-80.219154,2016-05-16 07:23:15.329303
499564,1662700,Entire home/apt,,,77,4.5,5,2.0,185.0,5.0,25.806517,-80.124694,2016-05-16 07:22:59.105668
12727307,59907,Entire home/apt,,,0,,4,1.0,150.0,3.0,25.772135,-80.134999,2016-05-16 07:22:25.962621
12624251,68541143,Entire home/apt,,,4,5.0,3,1.0,59.0,1.0,25.778555,-80.137763,2016-05-16 07:22:18.595306
2279387,6697019,Entire home/apt,,,81,4.5,3,0.0,49.0,1.0,25.776447,-80.135754,2016-05-16 07:21:49.191146
4400021,19326088,Entire home/apt,,,5,5.0,5,3.0,200.0,2.0,25.815795,-80.194046,2016-05-16 07:21:33.758347
6360738,13448001,Entire home/apt,,,5,5.0,4,1.0,146.0,3.0,25.762584,-80.190915,2016-05-16 07:21:21.792907
9926480,5148952,Entire home/apt,,,3,4.5,3,1.0,99.0,3.0,25.79438,-80.189547,2016-05-16 07:21:11.512201
8813395,1097917,Private room,,,4,5.0,4,1.0,50.0,3.0,25.764968,-80.217492,2016-05-16 07:21:06.914496
952005,5166733,Entire home/apt,,,37,4.5,4,2.0,125.0,2.0,25.851924,-80.178541,2016-05-16 07:20:48.007522
3978906,20580888,Entire home/apt,,,1,,4,1.0,210.0,3.0,25.728145,-80.240153,2016-05-16 07:20:41.642817
7600367,34826749,Entire home/apt,,,12,5.0,4,2.0,127.0,3.0,25.724593,-80.249766,2016-05-16 07:20:35.014119
11673986,9358449,Shared room,,,1,,1,1.0,34.0,1.0,25.786703,-80.137332,2016-05-16 07:20:32.116571
2456272,11108311,Entire home/apt,,,15,5.0,6,3.0,275.0,4.0,25.735288,-80.23333,2016-05-16 07:20:28.100912
12148340,23761930,Entire home/apt,,,1,,6,3.0,174.0,5.0,25.736798,-80.241478,2016-05-16 07:19:54.339560
