"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",4931679,11191422,"Entire home/apt",NA,NA,15,5,2,1,130,1,25.821993,-80.120881,"2016-01-13 21:20:09.607302"
"2",5194322,4216449,"Entire home/apt",NA,NA,0,NA,4,1,170,1,25.786738,-80.14544,"2016-01-13 21:15:22.285777"
"3",5782294,29997306,"Private room",NA,NA,21,5,2,1,78,2,25.793603,-80.185867,"2016-01-13 21:14:11.388978"
"4",6690059,11298715,"Entire home/apt",NA,NA,1,5,NA,7,1800,3,25.796916,-80.139817,"2016-01-13 21:13:59.120198"
"5",9675974,43527337,"Entire home/apt",NA,NA,0,NA,4,2,250,1,25.968041,-80.163732,"2016-01-13 21:13:48.129950"
"6",5486565,3075707,"Entire home/apt",NA,NA,4,4.5,NA,2,165,3,25.787806,-80.138269,"2016-01-13 21:13:44.706911"
"7",8309478,24188006,"Entire home/apt",NA,NA,5,4,5,0,200,1,25.776901,-80.18742,"2016-01-13 21:12:20.828572"
"8",1284861,1969111,"Entire home/apt",NA,NA,25,4.5,5,1,89,2,25.776509,-80.135822,"2016-01-13 21:11:04.698396"
"9",2307420,7670194,"Entire home/apt",NA,NA,41,4.5,NA,3,149,1,25.931887,-80.125031,"2016-01-13 21:09:19.873288"
"10",9363914,7403693,"Entire home/apt",NA,NA,2,4.5,4,1,160,1,25.936423,-80.125602,"2016-01-13 21:08:18.557628"
"11",9452091,23751519,"Entire home/apt",NA,NA,0,NA,2,0,85,1,25.848383,-80.160872,"2016-01-13 21:08:11.048624"
"12",3669066,7708111,"Private room",NA,NA,61,4,3,1,100,1,25.77249,-80.369849,"2016-01-13 21:07:46.527561"
"13",1646618,8738152,"Entire home/apt",NA,NA,18,5,4,1,170,6,25.880007,-80.120539,"2016-01-13 21:07:40.564337"
"14",9495673,46324515,"Entire home/apt",NA,NA,0,NA,2,1,290,6,25.75543,-80.196133,"2016-01-13 21:04:15.247195"
"15",7539073,39500988,"Entire home/apt",NA,NA,1,5,4,1,120,1,25.947416,-80.137622,"2016-01-13 21:03:32.320297"
"16",7222058,16385815,"Entire home/apt",NA,NA,1,NA,NA,4,625,4,25.865245,-80.129883,"2016-01-13 20:55:49.248085"
"17",4300575,22324705,"Private room",NA,NA,0,NA,4,1,99,1,25.949901,-80.12419,"2016-01-13 20:54:30.551391"
"18",537458,2167463,"Entire home/apt",NA,NA,18,5,5,3,1500,4,25.77116,-80.196103,"2016-01-13 20:53:14.800653"
"19",5101876,26360211,"Private room",NA,NA,20,4.5,2,1,65,2,25.781184,-80.140229,"2016-01-13 20:46:59.054472"
"20",7858887,41417585,"Shared room",NA,NA,12,4,2,1,74,2,25.791043,-80.186452,"2016-01-13 20:44:59.564188"
"21",2935587,14990048,"Entire home/apt",NA,NA,30,5,NA,3,300,1,25.943074,-80.136339,"2016-01-13 20:41:13.811913"
"22",6481167,29745935,"Entire home/apt",NA,NA,1,4,4,1,99,1,25.780944,-80.130873,"2016-01-13 20:40:30.374196"
"23",9304459,26572969,"Entire home/apt",NA,NA,0,NA,3,1,185,1,25.797067,-80.188163,"2016-01-13 20:40:19.350986"
"24",7993972,30663882,"Entire home/apt",NA,NA,0,NA,4,1,130,6,25.880115,-80.121238,"2016-01-13 20:39:44.692131"
"25",7544943,687026,"Entire home/apt",NA,NA,2,5,3,2,180,3,25.80128,-80.191105,"2016-01-13 20:38:33.283674"
"26",9899561,28217905,"Entire home/apt",NA,NA,1,4,NA,2,350,3,25.769813,-80.195841,"2016-01-13 20:35:14.756401"
"27",8734966,4051761,"Entire home/apt",NA,NA,6,4.5,4,0,100,1,25.844772,-80.12047,"2016-01-13 20:33:05.705088"
"28",9942482,4522816,"Entire home/apt",NA,NA,0,NA,NA,2,350,1,25.792878,-80.135898,"2016-01-13 20:31:57.929632"
"29",7564471,37323794,"Entire home/apt",NA,NA,1,NA,NA,2,299,2,25.932625,-80.12791,"2016-01-13 20:31:13.350914"
"30",7676780,2629513,"Entire home/apt",NA,NA,4,5,3,0,103,1,25.791534,-80.184919,"2016-01-13 20:23:18.327782"
"31",7148488,28505324,"Entire home/apt",NA,NA,3,5,4,2,140,5,25.759749,-80.198007,"2016-01-13 21:29:22.471957"
"32",4662131,15857410,"Entire home/apt",NA,NA,2,4.5,2,1,90,5,25.790262,-80.139576,"2016-01-13 21:28:30.002515"
"33",7051192,23356321,"Entire home/apt",NA,NA,12,4,3,0,60,4,25.788422,-80.133396,"2016-01-13 21:26:28.267680"
"34",9902058,33295885,"Entire home/apt",NA,NA,0,NA,NA,3,300,5,25.967387,-80.158002,"2016-01-13 21:23:56.562220"
"35",7577919,2400115,"Entire home/apt",NA,NA,0,NA,2,1,149,3,25.800451,-80.187559,"2016-01-13 21:22:15.658124"
"36",773178,4079885,"Entire home/apt",NA,NA,3,4.5,5,2,500,4,25.794466,-80.13553,"2016-01-13 21:21:35.223384"
"37",10054985,51601722,"Private room",NA,NA,0,NA,2,1,95,1,25.785766,-80.144489,"2016-01-13 21:20:13.217771"
"38",4823825,13856432,"Entire home/apt",NA,NA,5,5,4,1,180,3,25.788248,-80.139695,"2016-01-13 20:21:54.384041"
"39",7020736,29232621,"Private room",NA,NA,15,5,2,1,60,1,25.753856,-80.198004,"2016-01-13 20:21:21.653133"
"40",5539647,1212552,"Shared room",NA,NA,4,3.5,NA,1,20,1,25.923301,-80.158448,"2016-01-13 20:20:46.394830"
"41",4303772,3028030,"Private room",NA,NA,1,5,2,1,95,2,25.782256,-80.135896,"2016-01-13 20:20:42.019355"
"42",471854,59907,"Entire home/apt",NA,NA,45,4.5,2,1,150,3,25.773907,-80.135743,"2016-01-13 20:01:55.489132"
"43",8550028,21172159,"Private room",NA,NA,18,4.5,2,1,45,1,25.8714,-80.126857,"2016-01-13 20:00:23.445798"
"44",7148348,19974124,"Entire home/apt",NA,NA,10,5,3,1,200,3,25.774616,-80.130666,"2016-01-13 20:00:10.643503"
"45",6514450,34060410,"Private room",NA,NA,5,5,2,1,65,1,25.952987,-80.134565,"2016-01-13 19:59:21.792210"
"46",1746701,1337004,"Entire home/apt",NA,NA,1,5,4,2,300,7,25.769086,-80.139051,"2016-01-13 19:59:19.088989"
"47",3719993,2781676,"Entire home/apt",NA,NA,0,NA,2,1,166,90,25.930671,-80.120749,"2016-01-13 19:54:01.416035"
"48",6041651,31354041,"Entire home/apt",NA,NA,3,5,5,2,280,10,25.931023,-80.122081,"2016-01-13 19:53:31.444271"
"49",4061592,49251,"Private room",NA,NA,1,5,2,1,65,2,25.758659,-80.233209,"2016-01-13 19:53:05.617367"
"50",3859117,288946,"Entire home/apt",NA,NA,5,4.5,4,3,200,2,25.866907,-80.170076,"2016-01-13 19:48:53.696290"
"51",661953,3075707,"Entire home/apt",NA,NA,0,NA,4,1,114,3,25.780673,-80.1394,"2016-01-13 19:47:54.661128"
"52",8857159,26888415,"Shared room",NA,NA,2,NA,1,1,25,1,25.744853,-80.220939,"2016-01-13 19:47:32.149599"
"53",8551153,21172159,"Private room",NA,NA,8,4.5,2,1,45,1,25.87094,-80.12831,"2016-01-13 19:45:17.258489"
"54",5519067,3075707,"Entire home/apt",NA,NA,0,NA,4,1,122,3,25.782107,-80.13973,"2016-01-13 19:43:38.960634"
"55",10040990,51541483,"Entire home/apt",NA,NA,1,5,NA,3,430,6,25.8672,-80.190959,"2016-01-13 19:42:59.909374"
"56",2657048,12498385,"Entire home/apt",NA,NA,10,3.5,NA,2,259,1,25.833269,-80.119693,"2016-01-13 19:42:46.446450"
"57",6807431,28505324,"Entire home/apt",NA,NA,4,5,NA,2,150,30,25.764247,-80.193954,"2016-01-13 19:40:54.893063"
"58",9156086,26888415,"Shared room",NA,NA,1,1,1,1,25,1,25.742916,-80.220992,"2016-01-13 19:39:36.124395"
"59",4207773,3501677,"Entire home/apt",NA,NA,6,4,NA,2,199,1,25.934101,-80.171526,"2016-01-13 19:38:32.081765"
"60",8548371,42638123,"Private room",NA,NA,1,1,3,1,79,1,25.789641,-80.134982,"2016-01-13 19:38:24.605481"
"61",2521206,7670194,"Entire home/apt",NA,NA,5,3.5,NA,3,149,1,25.93246,-80.127248,"2016-01-13 20:48:56.711858"
"62",9616789,49754808,"Shared room",NA,NA,3,5,1,1,30,3,25.852197,-80.146251,"2016-01-13 19:37:42.536282"
"63",9683585,36487015,"Entire home/apt",NA,NA,0,NA,NA,4,900,3,25.781252,-80.157679,"2016-01-13 19:07:20.790579"
"64",5180441,5592325,"Entire home/apt",NA,NA,4,5,2,1,150,1,25.772016,-80.136748,"2016-01-13 19:05:45.546833"
"65",2198110,447193,"Entire home/apt",NA,NA,0,NA,5,3,2947,7,25.834232,-80.120624,"2016-01-13 19:04:11.785697"
