room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9566344,43224953,Shared room,,Midtown,23,4,16,1,76,,32.748244,-117.160439,41:41.7
15988833,2457695,Shared room,,Mira Mesa,1,0,10,1,60,,32.933597,-117.154933,41:40.6
17454799,118169093,Shared room,,Gaslamp Quarter,0,0,2,1,77,,32.714763,-117.16012,41:30.0
15436504,64434828,Shared room,,Pacific Beach,5,5,4,1,63,,32.792349,-117.255925,41:28.6
17347817,82048758,Shared room,,Normal Heights,4,4.5,2,1,70,,32.761373,-117.117983,41:28.6
6991211,36653968,Shared room,,Loma Portal,2,0,2,1,50,,32.752065,-117.224204,41:25.9
16261666,2457695,Shared room,,Mira Mesa,0,0,2,1,57,,32.930127,-117.142844,41:25.3
17885612,35672112,Shared room,,La Jolla,0,0,2,1,60,,32.829184,-117.277552,41:23.5
9450068,28422176,Shared room,,Gaslamp Quarter,39,4.5,4,1,56,,32.711275,-117.160423,41:23.5
12885336,2834954,Shared room,,Midtown,35,5,3,1,35,,32.746575,-117.152564,41:21.3
18394652,2834954,Shared room,,Midtown,2,0,4,1,30,,32.746739,-117.150933,41:21.3
14304148,15284591,Shared room,,Gaslamp Quarter,0,0,2,1,350,,32.710059,-117.160217,41:19.9
7226946,37835744,Shared room,,San Ysidro,0,0,6,1,300,,32.55834,-117.050867,41:18.9
8812535,46166426,Shared room,,Linda Vista,0,0,1,1,250,,32.772858,-117.17134,41:18.9
14107284,44389825,Shared room,,Marina,0,0,3,1,265,,32.715687,-117.169837,41:18.9
16646908,65245312,Shared room,,College Area,0,0,2,1,200,,32.769798,-117.073428,41:17.4
3363247,16967657,Shared room,,East Village,0,0,2,1,165,,32.703445,-117.158385,41:16.4
5940190,26593632,Shared room,,Old Town,1,0,1,1,150,,32.75435,-117.162946,41:16.4
3318073,16335626,Shared room,,Grant Hill,1,0,2,1,164,,32.709464,-117.14455,41:16.4
13129870,73114106,Shared room,,Moreno Mission,1,0,1,1,150,,32.764119,-117.187971,41:16.4
6031496,21047879,Shared room,,Normal Heights,8,4.5,1,1,125,,32.759778,-117.115464,41:15.2
18170830,67976604,Shared room,,East Village,0,0,1,1,130,,32.707296,-117.158317,41:15.2
3884876,14945957,Shared room,,University City,1,0,1,1,110,,32.873223,-117.216626,41:13.9
12693518,13166115,Shared room,,East Village,15,4.5,2,1,115,,32.71043,-117.151509,41:13.9
13959074,83152894,Shared room,,Midtown,1,0,2,1,104,,32.739664,-117.16065,41:13.8
17157494,112801855,Shared room,,Pacific Beach,0,0,2,1,100,,32.798994,-117.256447,41:12.5
18407151,127526494,Shared room,,Rancho Penasquitos,0,0,2,1,100,,32.947485,-117.12818,41:12.5
18057312,124285462,Shared room,,Pacific Beach,0,0,1,1,81,,32.808594,-117.256501,41:12.4
7146725,37425840,Shared room,,Loma Portal,48,4.5,3,1,100,,32.751518,-117.240635,41:12.4
8599185,45253788,Shared room,,University City,0,0,1,1,80,,32.858347,-117.226531,41:10.9
17535919,117987352,Shared room,,Pacific Beach,0,0,3,1,80,,32.801236,-117.241454,41:10.9
13194731,6982725,Shared room,,Midtown,0,0,1,1,70,,32.74068,-117.161,41:10.9
8584204,45178150,Shared room,,Otay Ranch,0,0,1,1,76,,32.627798,-116.993385,41:10.9
8503021,43629536,Shared room,,Core,0,0,1,1,77,,32.717912,-117.15761,41:10.9
3560755,17926311,Shared room,,North Hills,1,0,1,1,79,,32.740375,-117.121017,41:10.9
3688119,13209607,Shared room,,Cortez Hill,1,0,2,1,78,,32.724846,-117.165529,41:10.9
11637213,24705242,Shared room,,Pacific Beach,2,0,3,1,63,,32.795259,-117.252712,41:10.9
13673011,79540688,Shared room,,Ocean Beach,0,0,1,1,70,,32.752657,-117.244376,41:10.9
5557131,28783513,Shared room,,Mission Valley,0,0,1,1,72,,32.766754,-117.157349,41:10.9
8509883,44720110,Shared room,,North Hills,0,0,1,1,70,,32.750603,-117.136823,41:10.9
14519812,89714276,Shared room,,Nestor,1,0,1,1,65,,32.559242,-117.069727,41:10.9
7135541,27653191,Shared room,,North Hills,2,0,3,1,68,,32.746016,-117.12898,41:10.9
14762372,21234531,Shared room,,Ocean Beach,8,5,3,1,70,,32.736471,-117.252142,41:08.8
14111864,85019795,Shared room,,Pacific Beach,0,0,1,1,80,,32.802406,-117.240115,41:08.8
13925071,78172029,Shared room,,Mission Bay,0,0,3,1,75,,32.792049,-117.233239,41:08.8
14809403,6982725,Shared room,,Midtown,2,0,1,1,70,,32.740603,-117.160451,41:08.8
14571958,87299650,Shared room,,Loma Portal,1,0,1,1,65,,32.75454,-117.220988,41:08.8
9327098,31043523,Shared room,,Tierrasanta,0,0,2,1,75,,32.836102,-117.084967,41:08.8
16788370,111548010,Shared room,,Bird Land,0,0,5,1,75,,32.786432,-117.154225,41:08.8
14351163,87948847,Shared room,,Mountain View,0,0,1,1,80,,32.699822,-117.106789,41:08.8
18406609,127526494,Shared room,,Rancho Penasquitos,0,0,1,1,80,,32.947966,-117.128638,41:08.8
2410888,12321320,Shared room,,North Clairemont,19,4.5,6,1,80,,32.822358,-117.200676,41:08.8
16158112,105463935,Shared room,,Rolando,1,0,1,1,80,,32.754225,-117.060668,41:08.8
8015773,42066730,Shared room,,Ocean Beach,0,0,2,1,60,,32.751396,-117.247132,41:07.0
12029188,64378782,Shared room,,Pacific Beach,4,5,1,1,40,,32.798077,-117.233068,41:07.0
12037668,64434828,Shared room,,Pacific Beach,3,4,16,1,44,,32.793507,-117.255784,41:07.0
7111283,36768715,Shared room,,Grant Hill,1,0,2,1,53,,32.709674,-117.135396,41:07.0
1285153,3324885,Shared room,,Cortez Hill,39,4.5,6,1,31,,32.72314,-117.165454,41:01.2
15343585,24910958,Shared room,,Southcrest,0,0,1,1,35,,32.687938,-117.11215,41:01.2
785596,3324885,Shared room,,Midtown,48,5,4,1,31,,32.746778,-117.159895,41:01.2
14256398,43531949,Shared room,,Scripps Ranch,2,0,2,1,35,,32.916694,-117.110735,41:01.2
960200,3324885,Shared room,,Cortez Hill,16,5,1,1,32,,32.723858,-117.165363,41:01.2
12612312,28081475,Shared room,,Rancho Penasquitos,6,4.5,2,1,32,,32.957873,-117.1462,41:01.2
17561548,2834954,Shared room,,East Village,3,5,2,1,10,,32.71227,-117.15922,41:01.2
14120711,38570557,Shared room,,Oak Park,0,0,2,1,40,,32.727549,-117.072344,41:01.2
14843070,23123944,Shared room,,Mission Bay,2,0,1,1,35,,32.775996,-117.252368,41:01.2
11871819,168812,Shared room,,Northwest,2,0,2,1,20,,32.633307,-117.083185,41:01.2
14556675,86590095,Shared room,,Pacific Beach,4,5,1,1,35,,32.803811,-117.219076,41:01.2
14039820,1158145,Shared room,,Pacific Beach,0,0,1,1,27,,32.796991,-117.249408,41:01.2
17524081,45771027,Shared room,,Loma Portal,0,0,1,1,25,,32.751122,-117.221433,41:01.2
11608777,60517670,Shared room,,North Hills,4,5,1,1,35,,32.751923,-117.140657,41:01.2
3211214,6846830,Shared room,,Marina,0,0,1,1,25,,32.711638,-117.162862,40:59.6
10685893,45771027,Shared room,,Grantville,3,4,3,1,35,,32.788453,-117.110272,40:59.6
7161384,6846830,Shared room,,Marina,0,0,1,1,25,,32.711877,-117.162654,40:59.6
1030335,3324885,Shared room,,Midtown,31,4.5,6,1,28,,32.745434,-117.159264,40:59.6
