"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",1039977,5726092,"Private room",NA,"City Heights East",11,4.5,4,1,75,3,32.742738,-117.08273,"2016-01-20 06:36:59.455967"
"2",9793855,15689672,"Entire home/apt",NA,"Loma Portal",0,NA,3,1,85,9,32.748491,-117.209746,"2016-01-20 06:36:04.860917"
"3",7334160,5058220,"Private room",NA,"Moreno Mission",0,NA,1,1,70,1,32.770071,-117.188015,"2016-01-20 06:31:17.201121"
"4",2659405,9508702,"Private room",NA,"Midtown",4,5,2,1,60,30,32.752029,-117.148184,"2016-01-20 06:30:21.183615"
"5",9028757,38565184,"Entire home/apt",NA,"Carmel Valley",0,NA,5,2,149,5,32.917696,-117.226539,"2016-01-20 06:29:55.084068"
"6",7403566,22167769,"Private room",NA,"Pacific Beach",1,5,2,1,69,1,32.79503,-117.239722,"2016-01-20 06:28:57.108538"
"7",5479240,7406956,"Entire home/apt",NA,"Pacific Beach",15,5,2,1,145,2,32.799405,-117.255725,"2016-01-20 06:27:55.185961"
"8",9793633,50472118,"Private room",NA,"Pacific Beach",0,NA,2,1,65,1,32.799561,-117.257932,"2016-01-20 06:02:17.364074"
"9",9332983,4431872,"Private room",NA,"Midtown",1,5,2,1,75,1,32.733487,-117.169344,"2016-01-20 06:00:51.649921"
"10",7776399,40911436,"Private room",NA,"Bay Park",0,NA,3,1,100,1,32.790772,-117.203852,"2016-01-20 05:57:52.829953"
"11",7475967,5537218,"Entire home/apt",NA,"Pacific Beach",0,NA,5,2,300,3,32.799478,-117.256186,"2016-01-20 05:56:25.830086"
"12",7161057,25659793,"Entire home/apt",NA,"Ocean Beach",10,5,NA,2,200,2,32.748063,-117.252042,"2016-01-20 05:55:23.885295"
"13",3741185,17046000,"Private room",NA,"Pacific Beach",21,5,2,1,89,2,32.805006,-117.255824,"2016-01-20 05:52:10.091527"
"14",1688958,8925994,"Entire home/apt",NA,"Mission Bay",6,5,3,1,160,1,32.785273,-117.253884,"2016-01-20 05:50:11.492467"
"15",596118,2946504,"Private room",NA,"Pacific Beach",2,4,1,1,50,1,32.803427,-117.233062,"2016-01-20 05:49:22.628688"
"16",3420926,12758923,"Entire home/apt",NA,"East Village",2,5,4,1,159,2,32.716231,-117.152871,"2016-01-20 05:47:50.622811"
"17",4278412,18676207,"Shared room",NA,"Park West",3,4.5,2,1,40,1,32.724961,-117.164519,"2016-01-20 05:47:04.005638"
"18",1109874,1288909,"Private room",NA,"North Hills",48,5,2,1,70,2,32.753998,-117.144475,"2016-01-20 05:41:02.024795"
"19",6760447,22012010,"Entire home/apt",NA,"Mission Bay",2,4.5,4,2,99,3,32.775061,-117.251622,"2016-01-20 05:04:20.684634"
"20",4588265,23783167,"Private room",NA,"Columbia",9,4.5,1,1,150,1,32.719941,-117.168104,"2016-01-20 05:02:56.501022"
"21",5029987,15716818,"Private room",NA,"Bay Park",5,5,2,1,110,1,32.779035,-117.208495,"2016-01-20 05:02:10.109395"
"22",9331332,48429588,"Shared room",NA,"Linda Vista",0,NA,2,1,67,1,32.789086,-117.176971,"2016-01-20 06:17:26.135616"
"23",3558920,1750808,"Private room",NA,"North Hills",70,5,2,1,64,2,32.735137,-117.123804,"2016-01-20 06:17:10.142477"
"24",7749302,5537218,"Entire home/apt",NA,"Mission Bay",0,NA,NA,2,300,3,32.762035,-117.25105,"2016-01-20 06:16:37.795523"
"25",3093263,14645243,"Entire home/apt",NA,"Midtown",1,5,NA,2,199,3,32.734379,-117.172737,"2016-01-20 06:08:54.249997"
"26",671453,3362386,"Entire home/apt",NA,"Pacific Beach",26,4.5,5,2,175,2,32.803532,-117.237778,"2016-01-20 05:00:06.467400"
"27",4639208,8093141,"Entire home/apt",NA,"Midtown",5,5,NA,3,249,2,32.73613,-117.163692,"2016-01-20 04:57:49.742112"
"28",6276690,30654303,"Private room",NA,"Clairemont Mesa",1,5,2,1,39,3,32.809303,-117.178278,"2016-01-20 04:55:36.313987"
"29",9200998,44872715,"Private room",NA,"Serra Mesa",1,5,2,1,60,1,32.785099,-117.129717,"2016-01-20 04:55:11.198391"
"30",3774679,14911079,"Entire home/apt",NA,"Pacific Beach",18,4,NA,7,1000,1,32.802026,-117.256302,"2016-01-20 04:55:06.267661"
"31",3093376,14645243,"Entire home/apt",NA,"Midtown",0,NA,4,2,199,3,32.735591,-117.171501,"2016-01-20 04:53:05.324325"
"32",3877995,5728079,"Private room",NA,"Old Town",2,3.5,2,1,175,2,32.74522,-117.181579,"2016-01-20 04:50:03.402530"
"33",5968854,11587673,"Private room",NA,"Midtown",6,5,2,1,120,2,32.743367,-117.161601,"2016-01-20 04:49:37.213925"
"34",9842218,50680046,"Entire home/apt",NA,"La Jolla",2,5,5,2,200,2,32.854223,-117.258122,"2016-01-20 04:47:43.878334"
