room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16617567,109568126,Shared room,,Mount Baker,0,0,1,1,200,,47.572852,-122.291112,31:25.1
13785072,1243056,Shared room,,University District,0,0,4,1,180,,47.657006,-122.31925,31:24.5
13868361,1243056,Shared room,,Wallingford,0,0,4,1,180,,47.64973,-122.332522,31:24.5
13877143,1243056,Shared room,,Wallingford,0,0,4,1,180,,47.651092,-122.331426,31:24.5
13877457,1243056,Shared room,,Wallingford,0,0,4,1,180,,47.65175,-122.332131,31:24.5
3757858,19196841,Shared room,,Minor,29,5,2,1,129,,47.609777,-122.313,31:23.8
14639624,9577961,Shared room,,Briarcliff,1,0,1,1,129,,47.650179,-122.412985,31:23.8
12623261,45287165,Shared room,,Broadway,9,5,1,1,110,,47.616074,-122.326894,31:23.0
17240892,116162089,Shared room,,Bryant,0,0,1,1,115,,47.662065,-122.289325,31:23.0
13785508,1243056,Shared room,,University District,0,0,2,1,96,,47.658844,-122.319661,31:22.2
13418525,75961250,Shared room,,Roosevelt,0,0,2,1,99,,47.685374,-122.313325,31:22.2
13785654,1243056,Shared room,,University District,0,0,2,1,96,,47.658629,-122.319563,31:22.2
13395087,75961250,Shared room,,Roosevelt,0,0,3,1,99,,47.684505,-122.312368,31:22.2
13877694,1243056,Shared room,,Wallingford,0,0,2,1,90,,47.649474,-122.332518,31:22.2
13877900,1243056,Shared room,,Wallingford,0,0,2,1,90,,47.64981,-122.332202,31:22.2
14961021,47267675,Shared room,,Broadway,1,0,2,1,100,,47.617782,-122.327752,31:22.2
6391711,26380561,Shared room,,Lower Queen Anne,0,0,1,1,98,,47.627376,-122.347544,31:22.2
13878032,1243056,Shared room,,Wallingford,0,0,2,1,90,,47.65,-122.332223,31:22.2
10929753,56428003,Shared room,,Broadway,1,0,1,1,100,,47.619086,-122.322567,31:22.2
15312556,55963544,Shared room,,Fremont,0,0,1,1,88,,47.662319,-122.352404,31:22.2
17500524,4289069,Shared room,,First Hill,4,4,1,1,89,,47.604804,-122.327396,31:22.2
7258811,1243056,Shared room,,Wallingford,3,3.5,1,1,63,,47.650858,-122.331338,31:21.0
1520501,1243056,Shared room,,Broadway,4,3.5,1,1,63,,47.624301,-122.319154,31:21.0
1520449,1243056,Shared room,,Broadway,15,4.5,1,1,63,,47.624094,-122.319695,31:21.0
1511620,1243056,Shared room,,Broadway,9,4.5,1,1,63,,47.625287,-122.319425,31:21.0
1520549,1243056,Shared room,,Broadway,7,4.5,1,1,75,,47.625063,-122.319053,31:21.0
17623216,119824030,Shared room,,Seward Park,0,0,2,1,80,,47.544763,-122.261459,31:21.0
1520581,1243056,Shared room,,Broadway,12,4.5,1,1,75,,47.623839,-122.32176,31:21.0
13418528,75961250,Shared room,,Roosevelt,1,0,3,1,70,,47.685103,-122.313484,31:21.0
1520533,1243056,Shared room,,Broadway,15,4.5,1,1,63,,47.625135,-122.32051,31:20.9
15133427,93058909,Shared room,,Broadway,4,4.5,2,1,80,,47.617498,-122.326126,31:20.9
14921088,34039684,Shared room,,Broadway,1,0,2,1,79,,47.618951,-122.32679,31:20.9
