"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",1898774,1274285,"Private room",NA,"Atlantic",2,5,2,1,75,2,47.597899,-122.300974,"2015-09-01 02:12:21.056302"
"2",7902035,26175335,"Private room",NA,"Belltown",1,NA,2,1,135,1,47.612413,-122.337992,"2015-09-01 02:13:45.877295"
"3",6327780,30129923,"Private room",NA,"Brighton",7,4.5,2,1,90,1,47.544812,-122.284319,"2015-09-01 02:14:46.364053"
"4",5457915,21106792,"Private room",NA,"Bryant",5,5,2,1,90,2,47.674075,-122.289073,"2015-09-01 02:15:48.051642"
"5",7460910,11975842,"Private room",NA,"First Hill",5,5,2,1,80,1,47.613791,-122.326043,"2015-09-01 02:22:29.393553"
"6",5825985,12973318,"Private room",NA,"Greenwood",4,5,2,1,47,2,47.702933,-122.360562,"2015-09-01 02:25:50.162120"
"7",1584345,3264544,"Private room",NA,"South Delridge",8,5,2,1,85,2,47.52455,-122.355623,"2015-09-01 02:27:49.941866"
"8",6914120,12298795,"Private room",NA,"Holly Park",5,4.5,1,1,40,3,47.540996,-122.289403,"2015-09-01 02:28:49.720292"
"9",7309396,38292356,"Private room",NA,"Lower Queen Anne",2,4.5,2,1,80,2,47.621957,-122.357702,"2015-09-01 02:32:13.820926"
"10",6888942,35935774,"Private room",NA,"Madrona",5,4.5,2,1,125,NA,47.6165,-122.290226,"2015-09-01 02:33:14.159776"
"11",6953822,36130869,"Private room",NA,"Maple Leaf",0,NA,2,1,75,NA,47.698366,-122.311858,"2015-09-01 02:34:16.978922"
"12",5240802,9143727,"Private room",NA,"Minor",69,4.5,2,1,50,1,47.605353,-122.308838,"2015-09-01 02:35:55.883581"
"13",5240893,9143727,"Private room",NA,"Minor",50,4.5,2,1,60,1,47.606807,-122.30885,"2015-09-01 02:36:00.506528"
"14",4575853,23719583,"Private room",NA,"Minor",41,5,2,1,65,1,47.605304,-122.303661,"2015-09-01 02:36:05.066944"
"15",7266662,398234,"Private room",NA,"Mann",5,5,2,1,80,2,47.604238,-122.299447,"2015-09-01 02:36:10.050498"
"16",5721061,4453873,"Private room",NA,"Mid-Beacon Hill",2,3.5,4,1,70,1,47.555655,-122.292418,"2015-09-01 02:40:24.834950"
"17",7718207,40553498,"Private room",NA,"North Beacon Hill",0,NA,3,1,87,NA,47.58115,-122.311394,"2015-09-01 02:40:30.543029"
"18",5774942,4453873,"Private room",NA,"Mid-Beacon Hill",1,4,2,1,50,1,47.557522,-122.294417,"2015-09-01 02:40:30.581433"
"19",4540816,22502733,"Private room",NA,"North Delridge",2,5,1,1,200,1,47.566417,-122.364458,"2015-09-01 02:41:06.468838"
"20",4183530,3979528,"Private room",NA,"Phinney Ridge",2,4.5,1,1,50,4,47.678308,-122.365331,"2015-09-01 02:44:13.229737"
"21",7966879,42037728,"Private room",NA,"West Queen Anne",0,NA,2,1,173,1,47.636841,-122.364437,"2015-09-01 02:46:53.370573"
"22",5760050,9193331,"Private room",NA,"East Queen Anne",12,4.5,2,1,96,1,47.6323,-122.348283,"2015-09-01 02:47:28.066238"
"23",1950480,216956,"Private room",NA,"North Queen Anne",34,5,2,1,105,2,47.643594,-122.359515,"2015-09-01 02:47:47.762460"
"24",8103523,42788523,"Private room",NA,"Seaview",0,NA,2,1,49,1,47.546616,-122.387957,"2015-09-01 02:51:26.514305"
"25",3554676,15204387,"Private room",NA,"Seward Park",21,4.5,1,1,68,1,47.547221,-122.271599,"2015-09-01 02:51:44.009353"
"26",7111425,30793403,"Private room",NA,"South Lake Union",5,5,2,1,90,20,47.623216,-122.330956,"2015-09-01 02:53:31.011826"
"27",7809218,27545051,"Private room",NA,"University District",5,5,2,1,79,3,47.662384,-122.315347,"2015-09-01 02:55:33.833869"
"28",5175000,22823076,"Private room",NA,"University District",1,5,2,1,47,2,47.663971,-122.312009,"2015-09-01 02:55:33.892194"
"29",8117868,20985514,"Private room",NA,"Victory Heights",0,NA,2,1,50,1,47.708507,-122.305112,"2015-09-01 02:56:53.242908"
"30",3722201,19014400,"Private room",NA,"Wallingford",0,NA,2,1,125,2,47.651066,-122.340872,"2015-09-01 02:57:38.391721"
"31",8050699,19295720,"Private room",NA,"Wedgwood",0,NA,2,1,50,1,47.68853,-122.293693,"2015-09-01 02:58:22.810637"
"32",7347891,38495394,"Private room",NA,"Wedgwood",0,NA,2,1,70,1,47.689196,-122.293265,"2015-09-01 02:58:22.820612"
"33",7744758,21505796,"Entire home/apt",NA,"Alki",0,NA,2,2,119,2,47.571074,-122.407849,"2015-09-01 03:01:26.514053"
"34",8054511,42535936,"Entire home/apt",NA,"Atlantic",0,NA,2,0,125,1,47.593623,-122.307345,"2015-09-01 03:05:10.039823"
"35",7258180,31213996,"Entire home/apt",NA,"Atlantic",1,5,NA,2,150,NA,47.592445,-122.301704,"2015-09-01 03:05:15.642802"
"36",7790781,863450,"Entire home/apt",NA,"Atlantic",2,5,4,2,125,1,47.586777,-122.300913,"2015-09-01 03:05:15.647444"
"37",1034345,5690353,"Entire home/apt",NA,"Loyal Heights",35,5,2,1,120,3,47.676587,-122.377795,"2015-09-01 03:07:10.387192"
"38",7842362,41319913,"Entire home/apt",NA,"Belltown",4,5,4,1,150,1,47.617103,-122.332852,"2015-09-01 03:11:24.166108"
"39",6830674,3797713,"Entire home/apt",NA,"Belltown",0,NA,2,1,150,3,47.6161,-122.3517,"2015-09-01 03:11:24.171939"
"40",6886617,3209083,"Entire home/apt",NA,"Belltown",0,NA,3,1,450,3,47.613598,-122.341742,"2015-09-01 03:12:04.918889"
"41",2119866,10809449,"Entire home/apt",NA,"Belltown",16,5,2,1,195,1,47.61768,-122.337743,"2015-09-01 03:12:11.219886"
"42",8009234,2331100,"Entire home/apt",NA,"Bryant",0,NA,5,2,245,2,47.681897,-122.288669,"2015-09-01 03:22:18.176170"
"43",1125116,3074414,"Entire home/apt",NA,"Bryant",12,4,5,2,145,1,47.676624,-122.289487,"2015-09-01 03:22:18.213100"
"44",7558301,39619249,"Entire home/apt",NA,"Broadway",0,NA,3,0,99,1,47.6235,-122.325624,"2015-09-01 03:25:39.512163"
"45",7226771,5912086,"Entire home/apt",NA,"Broadway",4,5,4,1,150,NA,47.625804,-122.326581,"2015-09-01 03:25:47.561826"
"46",3962961,20538732,"Entire home/apt",NA,"Broadway",58,4.5,2,0,110,2,47.614324,-122.314253,"2015-09-01 03:25:52.073181"
"47",8133583,42951174,"Entire home/apt",NA,"Broadway",0,NA,2,1,99,1,47.622291,-122.325245,"2015-09-01 03:26:01.521133"
"48",7898236,31879997,"Entire home/apt",NA,"Central Business District",0,NA,2,0,180,1,47.615763,-122.329754,"2015-09-01 03:26:07.746251"
"49",7193276,4496068,"Entire home/apt",NA,"Broadway",5,5,2,1,295,2,47.628247,-122.325191,"2015-09-01 03:26:14.853489"
"50",8035924,42431780,"Entire home/apt",NA,"Broadway",0,NA,2,1,185,NA,47.61572,-122.327814,"2015-09-01 03:26:14.891264"
"51",6084188,12510696,"Entire home/apt",NA,"Broadway",10,5,2,1,120,2,47.623051,-122.324597,"2015-09-01 03:26:18.748239"
"52",6704239,1923039,"Entire home/apt",NA,"Stevens",7,5,2,1,140,1,47.620849,-122.310647,"2015-09-01 03:26:42.974846"
"53",7222364,15239706,"Entire home/apt",NA,"Stevens",1,5,3,1,140,2,47.6183,-122.309513,"2015-09-01 03:26:45.609527"
"54",2336600,2077349,"Entire home/apt",NA,"Broadway",5,5,2,1,150,2,47.616291,-122.323299,"2015-09-01 03:26:54.603694"
